,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,2,bm ~ satvi + nir + satvi:nir,0.3362,,44417.5219,646.8677,70.0019,24.5241,0.764,0.0827,0.9056,,31.0618,,,,,,,447.9492,1.4827,46.412,455.2375,506.5782,0.5377,0.0367,0.5983
0,projyear,2,bm ~ satvi + swir1 + satvi:swir1,0.5584,,43702.8889,568.0173,57.8434,17.1279,0.6709,0.0683,0.7899,,23.6396,,,,,,,388.2302,1.2854,32.4032,395.322,432.3921,0.4669,0.0279,0.5107
0,projyear,2,bm ~ satvi + bai_126 + satvi:bai_126,0.3114,,44491.8037,654.1974,66.087,23.0113,0.7726,0.0781,0.9084,,29.4124,,,,,,,434.6098,1.439,43.5447,459.531,505.9902,0.5427,0.0347,0.5976
0,projyear,2,bm ~ satvi + bai_236 + satvi:bai_236,0.3989,,44226.1088,625.4018,67.634,21.5314,0.7386,0.0799,0.8769,,29.2492,,,,,,,440.7589,1.4594,40.7241,442.1175,485.9898,0.5222,0.0345,0.574
0,projyear,2,bm ~ satvi + bai_246 + satvi:bai_246,0.374,,44302.912,635.7779,62.8752,24.7305,0.7509,0.0743,0.8808,,28.3377,,,,,,,431.567,1.4291,46.7892,451.898,494.4938,0.5337,0.0335,0.584
0,projyear,2,bm ~ ndii7 + nir + ndii7:nir,0.5538,,43719.1056,567.9247,60.2441,16.4104,0.6708,0.0712,0.7973,,25.6997,,,,,,,383.9926,1.2716,31.0564,392.7683,433.5258,0.4639,0.0304,0.512
0,projyear,2,bm ~ ndii7 + swir1 + ndii7:swir1,0.5541,,43717.8116,569.8505,54.1185,17.4164,0.673,0.0639,0.7848,,20.5296,,,,,,,396.5745,1.3131,32.9398,399.1047,431.0188,0.4714,0.0242,0.5091
0,projyear,2,bm ~ ndii7 + swir2 + ndii7:swir2,0.5709,,43658.8881,563.8281,54.7217,14.8875,0.6659,0.0646,0.7783,,22.0849,,,,,,,384.6295,1.2734,28.1838,389.115,422.9477,0.4596,0.0261,0.4995
0,projyear,2,bm ~ ndii7 + bai_126 + ndii7:bai_126,0.4967,,43913.0846,589.7095,56.6484,25.4685,0.6965,0.0669,0.8145,,26.0219,,,,,,,397.676,1.3171,48.1501,418.7127,457.5826,0.4945,0.0307,0.5404
0,projyear,2,bm ~ ndii7 + bai_136 + ndii7:bai_136,0.4823,,43960.6592,596.1997,54.0898,21.1008,0.7041,0.0639,0.8158,,23.2102,,,,,,,427.0741,1.4146,39.8961,427.286,460.5501,0.5046,0.0274,0.5439
0,projyear,2,bm ~ ndii7 + bai_236 + ndii7:bai_236,0.4082,,44197.3048,624.929,48.7784,25.3722,0.7381,0.0576,0.8385,,19.0886,,,,,,,453.8643,1.5028,47.9561,454.6591,481.5393,0.537,0.0225,0.5687
0,projyear,2,bm ~ nir + swir1 + nir:swir1,0.5561,,43710.8893,569.4096,54.4375,18.35,0.6725,0.0643,0.7859,,21.2516,,,,,,,393.82,1.3037,34.706,400.1846,434.5775,0.4726,0.0251,0.5133
0,projyear,2,bm ~ nir + swir2 + nir:swir2,0.569,,43665.6148,564.2384,53.2715,15.7638,0.6664,0.0629,0.7765,,22.1062,,,,,,,380.5852,1.26,29.8411,390.7712,424.9988,0.4615,0.0261,0.5019
0,projyear,2,bm ~ nir + bai_126 + nir:bai_126,0.2566,,44653.3661,673.3592,66.2508,30.9337,0.7953,0.0782,0.9267,,29.9822,,,,,,,470.2965,1.5558,58.5038,479.0045,529.7472,0.5657,0.0354,0.6257
0,projyear,2,bm ~ nir + bai_136 + nir:bai_136,0.3798,,44285.2281,630.953,70.871,28.2111,0.7452,0.0837,0.8922,,31.9825,,,,,,,440.2222,1.4575,53.3255,447.1584,499.2014,0.5281,0.0378,0.5896
0,projyear,2,bm ~ nir + bai_236 + nir:bai_236,0.4064,,44202.9654,621.3267,69.5613,23.1346,0.7338,0.0822,0.8779,,30.368,,,,,,,430.6216,1.4256,43.7359,438.3083,487.0378,0.5177,0.0359,0.5752
0,projyear,2,bm ~ nir + bai_246 + nir:bai_246,0.5809,,43623.0177,560.7837,58.013,15.9631,0.6623,0.0685,0.7822,,25.4578,,,,,,,381.2419,1.2624,30.2132,389.4096,428.4369,0.4599,0.0301,0.506
0,projyear,2,bm ~ swir1 + bai_126 + swir1:bai_126,0.5488,,43736.5779,570.3685,55.9936,19.4717,0.6736,0.0661,0.7894,,22.4655,,,,,,,387.1733,1.2819,36.8187,398.2219,435.1126,0.4703,0.0265,0.5139
0,projyear,2,bm ~ swir1 + bai_246 + swir1:bai_246,0.5494,,43734.2101,570.4445,53.4412,18.3187,0.6737,0.0631,0.7833,,20.5978,,,,,,,391.0527,1.2948,34.6422,399.9969,432.2506,0.4724,0.0243,0.5105
0,projyear,2,bm ~ swir2 + bai_126 + swir2:bai_126,0.5682,,43668.2744,563.8634,54.2886,16.4594,0.666,0.0641,0.7777,,22.7815,,,,,,,375.088,1.2418,31.1503,388.9673,425.0437,0.4594,0.0269,0.502
0,projyear,2,bm ~ swir2 + bai_246 + swir2:bai_246,0.5666,,43673.8704,564.2341,53.8787,15.3038,0.6664,0.0636,0.7765,,21.8973,,,,,,,380.7622,1.2606,28.9696,390.012,423.2245,0.4606,0.0259,0.4999
0,projyear,2,bm ~ bai_126 + bai_136 + bai_126:bai_136,0.3569,,44354.9706,636.9593,68.8216,30.7554,0.7523,0.0813,0.8965,,30.6751,,,,,,,432.9689,1.4338,58.107,456.6227,504.7645,0.5393,0.0362,0.5962
0,projyear,2,bm ~ bai_126 + bai_236 + bai_126:bai_236,0.3574,,44353.6732,637.3569,69.7502,30.1328,0.7528,0.0824,0.8983,,30.87,,,,,,,439.7458,1.4563,56.9264,457.6411,506.3218,0.5405,0.0365,0.598
0,projyear,2,bm ~ bai_126 + bai_246 + bai_126:bai_246,0.3902,,44253.0321,632.3532,58.252,35.3882,0.7468,0.0688,0.8655,,27.9364,,,,,,,464.9364,1.5395,66.8919,460.2278,501.5034,0.5436,0.033,0.5923
0,projyear,2,bm ~ bai_136 + bai_246 + bai_136:bai_246,0.4091,,44194.4964,619.5287,64.0954,27.4752,0.7317,0.0757,0.8656,,29.111,,,,,,,434.8031,1.4401,51.9256,446.3653,489.0614,0.5272,0.0344,0.5776
0,projyear,2,bm ~ bai_236 + bai_246 + bai_236:bai_246,0.3263,,44447.2973,649.1103,60.6686,29.5909,0.7666,0.0717,0.8933,,25.1436,,,,,,,459.5585,1.5217,55.9083,471.9172,508.4317,0.5574,0.0297,0.6005
0,projyear,3,bm ~ dfi + ndvi + satvi + dfi:ndvi + dfi:satvi + ndvi:satvi,0.523,,43829.605,582.4959,49.1687,14.9817,0.688,0.0581,0.7861,,21.2805,,,,,,,406.8711,1.3471,28.4077,410.8837,438.7075,0.4853,0.0251,0.5181
0,projyear,3,bm ~ dfi + ndvi + nir + dfi:ndvi + dfi:nir + ndvi:nir,0.534,,43792.2175,577.6924,59.4958,16.2774,0.6823,0.0703,0.8057,,26.2546,,,,,,,384.2518,1.2723,30.824,399.7926,440.1668,0.4722,0.031,0.5199
0,projyear,3,bm ~ dfi + ndvi + bai_126 + dfi:ndvi + dfi:bai_126 + ndvi:bai_126,0.4992,,43909.566,589.5985,54.7112,18.6924,0.6963,0.0646,0.8092,,24.2778,,,,,,,383.8149,1.2709,35.3912,411.4087,447.4688,0.4859,0.0287,0.5285
0,projyear,3,bm ~ dfi + ndvi + bai_246 + dfi:ndvi + dfi:bai_246 + ndvi:bai_246,0.5016,,43901.6142,587.6426,58.1919,17.2465,0.694,0.0687,0.8144,,25.7241,,,,,,,382.4603,1.2664,32.6555,407.4978,446.273,0.4813,0.0304,0.5271
0,projyear,3,bm ~ dfi + ndti + ndii7 + dfi:ndti + dfi:ndii7 + ndti:ndii7,0.4793,,43975.2848,595.6067,55.8592,17.3451,0.7034,0.066,0.819,,23.782,,,,,,,394.8036,1.3072,32.8577,416.16,451.9347,0.4915,0.0281,0.5338
0,projyear,3,bm ~ dfi + ndti + nir + dfi:ndti + dfi:nir + ndti:nir,0.5154,,43855.3225,585.564,61.4841,19.0529,0.6916,0.0726,0.8199,,26.5279,,,,,,,382.8726,1.2678,36.0475,405.1444,447.0574,0.4785,0.0313,0.528
0,projyear,3,bm ~ dfi + ndti + bai_126 + dfi:ndti + dfi:bai_126 + ndti:bai_126,0.4598,,44038.7014,606.4148,55.6302,23.4079,0.7162,0.0657,0.8307,,24.7291,,,,,,,380.1118,1.2586,44.2858,423.539,460.5881,0.5002,0.0292,0.544
0,projyear,3,bm ~ dfi + ndti + bai_136 + dfi:ndti + dfi:bai_136 + ndti:bai_136,0.5021,,43899.9278,588.235,57.0841,16.189,0.6947,0.0674,0.8101,,26.3689,,,,,,,400.3572,1.3259,30.6762,412.1004,450.0369,0.4867,0.0311,0.5315
0,projyear,3,bm ~ dfi + ndti + bai_236 + dfi:ndti + dfi:bai_236 + ndti:bai_236,0.5246,,43824.2926,580.7077,51.1945,14.56,0.6858,0.0605,0.7872,,22.3617,,,,,,,400.1463,1.3251,27.6059,406.1692,436.496,0.4797,0.0264,0.5155
0,projyear,3,bm ~ dfi + ndti + bai_246 + dfi:ndti + dfi:bai_246 + ndti:bai_246,0.4677,,44012.959,599.2007,57.2665,19.041,0.7077,0.0676,0.8263,,25.3672,,,,,,,380.8413,1.2609,36.0598,417.1337,454.339,0.4927,0.03,0.5366
0,projyear,3,bm ~ dfi + satvi + ndii7 + dfi:satvi + dfi:ndii7 + satvi:ndii7,0.4919,,43933.8011,593.7561,51.5629,15.097,0.7013,0.0609,0.8049,,21.8776,,,,,,,414.8627,1.3738,28.6189,418.1765,447.4436,0.4939,0.0258,0.5285
0,projyear,3,bm ~ dfi + satvi + nir + dfi:satvi + dfi:nir + satvi:nir,0.3966,,44238.26,627.2833,71.2035,24.051,0.7409,0.0841,0.886,,31.4055,,,,,,,422.7953,1.3997,45.5158,438.5472,488.0652,0.5179,0.0371,0.5764
0,projyear,3,bm ~ dfi + satvi + swir1 + dfi:satvi + dfi:swir1 + satvi:swir1,0.5692,,43669.4055,564.6319,56.737,16.2339,0.6669,0.067,0.7845,,23.9673,,,,,,,386.9528,1.281,30.7247,390.9228,430.4391,0.4617,0.0283,0.5084
0,projyear,3,bm ~ dfi + satvi + bai_126 + dfi:satvi + dfi:bai_126 + satvi:bai_126,0.3382,,44416.6559,645.6428,67.7836,21.6895,0.7625,0.0801,0.9035,,29.5678,,,,,,,421.0872,1.3942,41.0787,450.512,496.9017,0.5321,0.0349,0.5869
0,projyear,3,bm ~ dfi + satvi + bai_236 + dfi:satvi + dfi:bai_236 + satvi:bai_236,0.4095,,44198.3421,623.344,67.2858,17.7061,0.7362,0.0795,0.873,,28.6029,,,,,,,433.7262,1.4361,33.5434,437.259,479.7169,0.5164,0.0338,0.5666
0,projyear,1,bm ~ dfi,0.003,,45372.0682,769.104,56.3647,65.0508,0.9084,0.0666,1.0252,,23.0146,,,,,,,590.8866,1.9551,122.8737,587.5883,621.915,0.694,0.0272,0.7345
0,projyear,1,bm ~ ndvi,0.4063,,44199.9542,618.8464,55.8508,29.438,0.7309,0.066,0.8474,,24.4707,,,,,,,415.7339,1.3767,55.6264,447.1224,481.8266,0.5281,0.0289,0.5691
0,projyear,1,bm ~ ndti,0.4204,,44155.7008,616.0677,51.2374,22.9972,0.7276,0.0605,0.8333,,23.245,,,,,,,390.2398,1.2919,43.5272,433.5692,470.0789,0.5121,0.0275,0.5552
0,projyear,1,bm ~ satvi,0.3083,,44497.6621,654.2131,68.9212,26.2679,0.7727,0.0814,0.9131,,31.0626,,,,,,,448.9967,1.4865,49.6992,462.4998,512.4449,0.5462,0.0367,0.6052
0,projyear,1,bm ~ ndii7,0.3253,,44447.0335,646.9978,44.5934,36.8225,0.7641,0.0527,0.858,,16.8615,,,,,,,463.3457,1.5337,69.5974,481.4295,504.7496,0.5686,0.0199,0.5961
0,projyear,1,bm ~ nir,0.2453,,44682.7989,677.6136,68.9543,33.8931,0.8003,0.0814,0.9384,,31.848,,,,,,,476.1194,1.5754,64.0904,484.0074,538.062,0.5716,0.0376,0.6355
0,projyear,1,bm ~ swir1,0.5422,,43756.2983,571.6198,54.9323,19.3733,0.6751,0.0649,0.7883,,21.8994,,,,,,,388.5257,1.2863,36.6325,399.7369,435.5127,0.4721,0.0259,0.5144
0,projyear,1,bm ~ swir2,0.5638,,43680.9007,564.619,54.14,16.2994,0.6668,0.0639,0.7781,,22.7278,,,,,,,377.0062,1.2481,30.849,389.9868,425.5997,0.4606,0.0268,0.5027
0,projyear,1,bm ~ bai_126,0.1031,,45089.9831,730.0871,67.3259,52.6142,0.8623,0.0795,0.9965,,33.9846,,,,,,,540.5339,1.7889,99.4131,542.6982,595.6381,0.641,0.0401,0.7035
0,projyear,1,bm ~ bai_136,0.3556,,44355.6094,636.5424,70.6716,31.5974,0.7518,0.0835,0.899,,32.4241,,,,,,,438.7426,1.4529,59.7012,455.0005,506.3329,0.5374,0.0383,0.598
0,projyear,1,bm ~ bai_236,0.3088,,44496.1178,653.7451,64.9489,32.2204,0.7721,0.0767,0.9089,,27.0127,,,,,,,449.9921,1.49,60.8636,475.1585,517.6849,0.5612,0.0319,0.6114
0,projyear,1,bm ~ bai_246,0.129,,45016.6326,722.7433,46.2193,51.1887,0.8536,0.0546,0.9497,,19.5177,,,,,,,559.2062,1.8505,96.7333,548.1846,570.6666,0.6474,0.0231,0.674
0,projyear,2,bm ~ dfi + ndvi + dfi:ndvi,0.4818,,43962.2008,594.1608,52.2694,18.5936,0.7017,0.0617,0.8092,,22.9103,,,,,,,387.7877,1.284,35.2043,416.4192,449.6496,0.4918,0.0271,0.5311
0,projyear,2,bm ~ dfi + ndti + dfi:ndti,0.4308,,44126.306,614.6576,51.4472,24.0639,0.7259,0.0608,0.8319,,22.6457,,,,,,,380.8686,1.2611,45.5237,431.5525,465.2286,0.5097,0.0267,0.5495
0,projyear,2,bm ~ dfi + satvi + dfi:satvi,0.3367,,44416.1953,643.7261,68.4115,23.4143,0.7603,0.0808,0.901,,30.1568,,,,,,,430.9326,1.4268,44.3414,451.6542,498.8652,0.5334,0.0356,0.5892
0,projyear,2,bm ~ dfi + ndii7 + dfi:ndii7,0.3542,,44363.4416,640.572,42.5684,28.4295,0.7566,0.0503,0.8446,,16.0845,,,,,,,449.6194,1.488,53.8078,466.6348,490.336,0.5511,0.019,0.5791
0,projyear,2,bm ~ dfi + nir + dfi:nir,0.3229,,44457.4897,649.8435,72.2616,34.8759,0.7675,0.0853,0.9138,,33.5483,,,,,,,460.0249,1.5227,65.9057,462.5139,520.3123,0.5463,0.0396,0.6145
0,projyear,2,bm ~ dfi + swir1 + dfi:swir1,0.5505,,43730.3387,568.4784,55.0593,17.2072,0.6714,0.065,0.785,,22.6517,,,,,,,386.5706,1.2797,32.5671,394.5382,432.5905,0.466,0.0268,0.5109
0,projyear,2,bm ~ dfi + swir2 + dfi:swir2,0.5639,,43683.4633,564.5066,54.2006,16.0554,0.6667,0.064,0.778,,22.8903,,,,,,,377.2637,1.249,30.392,389.5273,425.4307,0.4601,0.027,0.5025
0,projyear,2,bm ~ dfi + bai_126 + dfi:bai_126,0.1264,,45027.6603,721.4078,70.1861,55.1383,0.852,0.0829,0.987,,33.9984,,,,,,,553.6071,1.8322,104.1369,532.2808,585.5756,0.6287,0.0402,0.6916
0,projyear,2,bm ~ dfi + bai_136 + dfi:bai_136,0.3611,,44342.3677,635.1727,70.715,26.5824,0.7502,0.0835,0.8973,,32.3686,,,,,,,426.8939,1.4136,50.2789,447.9007,499.7507,0.529,0.0382,0.5902
0,projyear,2,bm ~ dfi + bai_236 + dfi:bai_236,0.3349,,44421.5271,645.511,65.0556,22.9186,0.7624,0.0768,0.8981,,26.2714,,,,,,,433.8539,1.4364,43.3573,453.9484,495.2365,0.5361,0.031,0.5849
0,projyear,2,bm ~ dfi + bai_246 + dfi:bai_246,0.1444,,44976.5574,716.5325,46.2597,40.8914,0.8463,0.0546,0.9454,,17.7336,,,,,,,542.2566,1.7942,77.3613,536.6425,557.1083,0.6338,0.0209,0.658
0,projyear,2,bm ~ ndvi + satvi + ndvi:satvi,0.4772,,43977.0906,600.5776,59.3386,22.1831,0.7093,0.0701,0.8311,,26.8355,,,,,,,418.8582,1.387,41.9564,429.2906,468.3685,0.507,0.0317,0.5532
0,projyear,2,bm ~ ndvi + nir + ndvi:nir,0.522,,43828.1694,579.6754,64.8226,19.2166,0.6846,0.0766,0.8209,,28.5784,,,,,,,388.4248,1.2862,36.3435,403.7329,448.5866,0.4768,0.0338,0.5298
0,projyear,2,bm ~ ndvi + bai_126 + ndvi:bai_126,0.4629,,44023.7987,601.0103,60.537,27.9553,0.7098,0.0715,0.8356,,27.8216,,,,,,,400.1219,1.3251,52.8277,428.897,469.3504,0.5066,0.0329,0.5543
0,projyear,2,bm ~ ndvi + bai_246 + ndvi:bai_246,0.4482,,44070.9469,604.3082,61.2995,26.2206,0.7137,0.0724,0.8402,,27.2623,,,,,,,394.1727,1.3054,49.5447,427.3037,466.8839,0.5047,0.0322,0.5514
0,projyear,2,bm ~ ndti + ndii7 + ndti:ndii7,0.4698,,44001.3746,599.9424,50.1258,18.3106,0.7086,0.0592,0.8112,,20.7812,,,,,,,405.8848,1.3438,34.6777,422.614,452.4216,0.4991,0.0245,0.5343
0,projyear,2,bm ~ ndti + nir + ndti:nir,0.4733,,43989.8226,599.0152,57.7178,18.5566,0.7075,0.0682,0.8271,,24.6426,,,,,,,397.3412,1.3153,35.1517,417.2022,457.1393,0.4927,0.0291,0.5399
0,projyear,2,bm ~ ndti + bai_126 + ndti:bai_126,0.4396,,44098.5267,611.2244,54.8374,22.0921,0.7219,0.0648,0.8348,,24.9054,,,,,,,393.0873,1.3014,41.8192,428.9604,468.1148,0.5066,0.0294,0.5529
0,projyear,2,bm ~ ndti + bai_136 + ndti:bai_136,0.4845,,43953.4085,594.7998,58.8943,17.1692,0.7025,0.0696,0.8223,,26.2709,,,,,,,401.3399,1.3291,32.5164,414.2629,452.8375,0.4893,0.031,0.5348
0,projyear,2,bm ~ ndti + bai_236 + ndti:bai_236,0.4838,,43955.6937,594.467,56.3523,15.6226,0.7021,0.0666,0.8154,,23.9503,,,,,,,405.1246,1.3416,29.5868,412.9979,446.0237,0.4878,0.0283,0.5268
0,projyear,2,bm ~ ndti + bai_246 + ndti:bai_246,0.4399,,44097.3021,609.4024,51.4254,19.9403,0.7197,0.0607,0.8247,,22.155,,,,,,,400.3339,1.3253,37.7602,429.4938,460.7777,0.5073,0.0262,0.5442
0,projyear,2,bm ~ satvi + ndii7 + satvi:ndii7,0.4894,,43937.2491,594.2654,51.5973,16.4121,0.7019,0.0609,0.8068,,22.0532,,,,,,,422.5867,1.3994,31.0838,421.5862,452.3431,0.4979,0.026,0.5342
0,projyear,2,bm ~ satvi + nir + satvi:nir,0.3362,,44417.5219,646.8677,70.0019,24.5241,0.764,0.0827,0.9056,,31.0618,,,,,,,447.9492,1.4827,46.412,455.2375,506.5782,0.5377,0.0367,0.5983
0,projyear,2,bm ~ satvi + swir1 + satvi:swir1,0.5584,,43702.8889,568.0173,57.8434,17.1279,0.6709,0.0683,0.7899,,23.6396,,,,,,,388.2302,1.2854,32.4032,395.322,432.3921,0.4669,0.0279,0.5107
0,projyear,2,bm ~ satvi + bai_126 + satvi:bai_126,0.3114,,44491.8037,654.1974,66.087,23.0113,0.7726,0.0781,0.9084,,29.4124,,,,,,,434.6098,1.439,43.5447,459.531,505.9902,0.5427,0.0347,0.5976
0,projyear,2,bm ~ satvi + bai_236 + satvi:bai_236,0.3989,,44226.1088,625.4018,67.634,21.5314,0.7386,0.0799,0.8769,,29.2492,,,,,,,440.7589,1.4594,40.7241,442.1175,485.9898,0.5222,0.0345,0.574
0,projyear,2,bm ~ satvi + bai_246 + satvi:bai_246,0.374,,44302.912,635.7779,62.8752,24.7305,0.7509,0.0743,0.8808,,28.3377,,,,,,,431.567,1.4291,46.7892,451.898,494.4938,0.5337,0.0335,0.584
